,index,date,max_air_temp,min_air_temp,irad_amt,PET,av_temp,prcp_amt,remaining,amount
1248,553.0,2013-06-02,11.0,4.5,27.890000000000004,2.313882743362832,7.75,0.2,-2.113882743362832,1.0
1249,553.0,2013-06-02,11.0,4.5,27.890000000000004,2.313882743362832,7.75,0.2,-2.113882743362832,1.0
1250,553.0,2013-06-02,11.0,4.5,27.890000000000004,2.313882743362832,7.75,0.2,-2.113882743362832,1.0
1251,553.0,2013-06-02,11.0,4.5,27.890000000000004,2.313882743362832,7.75,0.2,-2.113882743362832,1.0
1252,553.0,2013-06-02,11.0,4.5,27.890000000000004,2.313882743362832,7.75,0.2,-2.113882743362832,1.0
2717,324.0,2017-06-08,13.1,10.2,8.655,0.937700091098386,11.649999999999999,1.5,0.562299908901614,5.0
2730,351.0,2017-06-21,17.6,13.9,10.901,1.4718619859448203,15.75,0.7,-0.7718619859448204,1.0
2734,359.0,2017-06-25,14.4,10.9,16.322000000000003,1.8745659812597608,12.65,0.2,-1.6745659812597609,2.0
2737,365.0,2017-06-28,15.7,10.8,15.519000000000002,1.8429317412805832,13.25,0.6,-1.2429317412805831,1.0
2741,373.0,2017-07-02,14.5,11.3,10.799,1.2578220978656949,12.9,1.8,0.5421779021343052,1.0
2745,381.0,2017-07-06,16.4,11.9,10.837,1.3503940005205624,14.149999999999999,2.7,1.3496059994794378,1.0
2748,387.0,2017-07-09,13.6,10.4,5.09,0.5630530973451328,12.0,2.4,1.836946902654867,1.0
2749,390.0,2017-07-10,12.8,10.5,19.613,2.124911829776158,11.65,8.4,6.275088170223842,1.0
2752,396.0,2017-07-13,16.6,9.8,13.638999999999998,1.6152381572097867,13.200000000000001,0.0,-1.6152381572097867,1.0
2753,398.0,2017-07-14,15.1,11.2,16.282999999999998,1.923063833940656,13.149999999999999,5.0,3.076936166059344,1.0
2754,398.0,2017-07-14,15.1,11.2,16.282999999999998,1.923063833940656,13.149999999999999,5.0,3.076936166059344,1.0
2756,402.0,2017-07-16,15.2,12.4,23.03,2.81730869338886,13.8,5.5,2.68269130661114,2.0
2757,402.0,2017-07-16,15.2,12.4,23.03,2.81730869338886,13.8,5.5,2.68269130661114,2.0
2773,434.0,2017-08-01,14.5,10.7,13.205,1.5122852680895371,12.6,60.0,58.487714731910465,4.0
2776,440.0,2017-08-04,15.6,13.6,14.703999999999995,1.875314940135346,14.6,0.3,-1.575314940135346,3.0
2777,442.0,2017-08-05,14.8,10.4,21.557,2.468787090057262,12.600000000000001,0.6,-1.8687870900572618,3.0
2782,452.0,2017-08-10,14.1,9.0,14.89,1.6035235554398757,11.55,0.0,-1.6035235554398757,1.0
2783,452.0,2017-08-10,14.1,9.0,14.89,1.6035235554398757,11.55,0.0,-1.6035235554398757,2.0
2784,454.0,2017-08-11,14.5,11.3,7.205,0.8392080947423216,12.9,2.7,1.8607919052576785,2.0
2785,456.0,2017-08-12,14.3,12.8,16.724000000000004,2.018676470588236,13.55,2.0,-0.01867647058823607,2.0
2786,458.0,2017-08-13,15.2,6.7,18.248,1.8939068193649145,10.95,0.0,-1.8939068193649145,1.0
2787,458.0,2017-08-13,15.2,6.7,18.248,1.8939068193649145,10.95,0.0,-1.8939068193649145,2.0
2789,462.0,2017-08-15,15.4,11.0,20.331,2.407757678292556,13.2,2.4,-0.007757678292556136,4.0
2790,462.0,2017-08-15,15.4,11.0,20.331,2.407757678292556,13.2,2.4,-0.007757678292556136,3.0
2792,466.0,2017-08-17,17.1,10.6,18.631000000000004,2.285231324830818,13.850000000000001,8.4,6.1147686751691825,4.0
2793,466.0,2017-08-17,17.1,10.6,18.631000000000004,2.285231324830818,13.850000000000001,8.4,6.1147686751691825,4.0
2796,472.0,2017-08-20,14.9,11.8,14.003,1.672013599687663,13.350000000000001,6.0,4.327986400312337,4.0
2802,485.0,2017-08-26,14.4,12.9,13.782000000000002,1.6725292816241542,13.65,12.6,10.927470718375845,3.0
2803,487.0,2017-08-27,15.7,11.3,7.943,0.9561784226965122,13.5,0.2,-0.7561784226965123,4.0
2805,491.0,2017-08-29,13.5,9.9,9.088,0.9875689744924516,11.7,4.3,3.312431025507548,4.0
2806,491.0,2017-08-29,13.5,9.9,9.088,0.9875689744924516,11.7,4.3,3.312431025507548,4.0
2807,493.0,2017-08-30,13.9,8.0,15.820000000000002,1.6419117647058823,10.95,1.8,0.15808823529411775,2.0
2809,497.0,2017-09-01,13.8,8.8,16.092,1.7067907339927122,11.3,0.0,-1.7067907339927122,4.0
2813,505.0,2017-09-05,13.8,11.8,9.072,1.0507652264445604,12.8,8.6,7.5492347735554395,4.0
2825,529.0,2017-09-17,9.4,4.2,8.85,0.6795288912024988,6.800000000000001,1.3,0.6204711087975012,1.0
2826,529.0,2017-09-17,9.4,4.2,8.85,0.6795288912024988,6.800000000000001,1.3,0.6204711087975012,3.0
2827,529.0,2017-09-17,9.4,4.2,8.85,0.6795288912024988,6.800000000000001,1.3,0.6204711087975012,3.0
2828,531.0,2017-09-18,11.9,8.2,8.136,0.7967647058823529,10.05,0.0,-0.7967647058823529,4.0
2829,531.0,2017-09-18,11.9,8.2,8.136,0.7967647058823529,10.05,0.0,-0.7967647058823529,1.0
2833,539.0,2017-09-22,12.3,6.7,6.276999999999999,0.5922468766267569,9.5,4.6,4.007753123373242,2.0
2834,541.0,2017-09-23,14.6,8.5,6.959,0.7494238027069235,11.55,3.1,2.3505761972930763,3.0
2835,541.0,2017-09-23,14.6,8.5,6.959,0.7494238027069235,11.55,3.1,2.3505761972930763,4.0
