date,tag
01/05/2018,some
01/08/2017,substantial
01/01/2020,a lot
01/03/2020,extensive
01/09/2020,none
01/10/2020,some
01/10/2020,a lot
01/11/2020,extensive
01/11/2020,extensive
02/07/2017,none
02/01/2018,a lot
02/10/2019,some
02/09/2019,some
02/11/2019,some
02/03/2020,substantial
02/06/2013,none
02/06/2013,none
02/06/2013,none
02/06/2013,none
02/06/2013,none
03/04/2018,extensive
03/10/2019,a lot
03/11/2019,substantial
03/11/2019,substantial
03/11/2019,substantial
03/11/2019,substantial
03/01/2020,some
03/10/2020,substantial
03/10/2020,a lot
04/08/2017,a lot
04/04/2018,extensive
04/10/2019,extensive
04/10/2019,some
04/10/2019,none
04/02/2020,extensive
04/09/2020,a lot
04/10/2020,extensive
04/11/2020,substantial
05/04/2018,substantial
05/11/2017,extensive
05/10/2019,a lot
05/09/2019,some
05/11/2019,a lot
05/08/2020,substantial
05/08/2020,a lot
05/08/2020,substantial
05/08/2020,substantial
05/08/2020,substantial
05/10/2020,a lot
05/10/2020,substantial
06/07/2017,none
06/04/2018,substantial
06/10/2019,substantial
06/06/2020,none
06/08/2020,a lot
06/08/2020,a lot
06/08/2020,a lot
06/08/2020,a lot
06/08/2020,none
06/09/2020,a lot
06/09/2020,a lot
06/09/2020,a lot
06/09/2020,none
07/10/2019,a lot
07/11/2019,a lot
07/07/2020,none
07/09/2020,a lot
07/09/2020,extensive
07/10/2020,a lot
07/10/2020,substantial
07/10/2020,a lot
07/10/2020,a lot
08/06/2017,extensive
08/03/2020,substantial
08/09/2020,substantial
08/09/2020,substantial
08/09/2020,substantial
08/09/2020,a lot
08/10/2020,a lot
08/10/2020,a lot
08/09/2020,substantial
08/10/2020,some
09/07/2017,none
09/11/2019,a lot
09/12/2019,substantial
09/01/2020,a lot
09/08/2020,substantial
09/08/2020,none
09/10/2020,substantial
09/10/2020,some
10/07/2017,none
10/10/2017,substantial
10/08/2017,none
10/08/2017,some
10/11/2019,some
10/01/2020,a lot
10/08/2020,some
10/08/2020,none
10/09/2020,a lot
10/09/2020,a lot
10/09/2020,substantial
10/09/2020,substantial
10/09/2020,a lot
10/09/2020,some
10/09/2020,substantial
11/08/2017,some
11/01/2020,extensive
11/03/2020,substantial
11/08/2020,none
11/08/2020,none
11/08/2020,none
12/03/2018,none
12/03/2018,a lot
12/03/2018,some
12/03/2018,extensive
12/02/2018,extensive
12/10/2019,some
12/10/2019,substantial
12/01/2020,substantial
12/01/2020,substantial
12/08/2020,some
12/09/2020,some
12/10/2020,substantial
13/10/2017,a lot
13/08/2017,none
13/07/2017,none
13/09/2019,none
13/09/2019,some
13/02/2020,extensive
13/03/2020,substantial
13/07/2020,none
13/07/2020,none
13/07/2020,none
13/08/2020,none
13/09/2020,substantial
13/09/2020,substantial
14/07/2017,none
14/07/2017,none
14/10/2017,substantial
14/09/2019,some
14/09/2019,some
14/09/2019,some
14/09/2019,none
14/02/2020,extensive
14/08/2020,none
14/09/2020,a lot
15/08/2017,substantial
15/08/2017,a lot
15/11/2019,substantial
15/04/2020,none
15/07/2020,none
15/08/2020,none
16/07/2017,some
16/04/2018,substantial
16/04/2018,substantial
16/09/2019,some
16/09/2019,some
16/10/2019,extensive
16/10/2019,substantial
16/10/2019,substantial
16/11/2019,a lot
16/11/2019,substantial
16/07/2020,none
16/07/2020,none
16/08/2020,none
16/08/2020,none
16/09/2020,a lot
16/10/2020,a lot
17/02/2018,substantial
17/02/2018,substantial
17/02/2018,substantial
17/09/2017,none
17/09/2017,a lot
17/09/2017,a lot
17/05/2018,some
17/05/2018,some
17/08/2017,substantial
17/09/2019,none
17/11/2019,some
17/03/2020,none
17/08/2020,none
17/08/2020,none
17/09/2020,some
18/05/2018,none
18/05/2018,none
18/09/2017,substantial
